**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
C89        100nF            C                SMD0603                         75.57 mm   127.00 mm 90      
C90        100nF            C                SMD0603                         54.61 mm   128.27 mm 90      
C91        100nF            C                SMD0603                         66.04 mm   116.84 mm 270     
C92        4u7              C                SMD1206                         52.07 mm   130.81 mm 270     
C93        100nF            C                SMD0603                         54.61 mm   131.45 mm 270     
C94        100nF            C                SMD0603                         49.53 mm   130.81 mm 270     
C95        22pF             C                SMD0603                         62.87 mm   116.84 mm 270     
C96        22pF             C                SMD0603                         60.96 mm   116.84 mm 270     
C97        100nF            C                SMD0603                         42.55 mm   102.24 mm 270     
C98        100nF            C                SMD0603                         34.93 mm   121.92 mm 90      
C99        100nF            C                SMD0603                         50.80 mm   43.18 mm  90      
C100       100nF            C                SMD0603                         64.14 mm   50.80 mm  270     
C101       100nF            C                SMD0603                         69.22 mm   47.63 mm  270     
C102       100nF            C                SMD0603                         66.68 mm   47.63 mm  90      
C103       100nF            C                SMD0603                         83.82 mm   42.55 mm  90      
C104       100nF            C                SMD0603                         38.74 mm   73.66 mm  270     
C105       100nF            C                SMD0603                         88.27 mm   41.28 mm  270     
C106       3u3F             C                ALLSIZEB                        40.01 mm   53.98 mm  0       
C107       100nF            C                SMD0603                         40.01 mm   59.06 mm  90      
C108       100nF            C                SMD0603                         19.69 mm   113.67 mm 90      
C109       33nF             C                SMD0603                         93.35 mm   151.13 mm 90      
C110       100nF            C                SMD0603                         99.70 mm   169.55 mm 90      
C111       33nF             C                SMD0603                         184.15 mm  154.94 mm 270     
C112       33nF             C                SMD0603                         186.06 mm  154.94 mm 270     
C113       33nF             C                SMD0603                         111.76 mm  146.69 mm 90      
C114       33nF             C                SMD0603                         104.14 mm  143.51 mm 90      
C115       100nF            C                SMD0603                         34.93 mm   66.04 mm  180     
C116       100nF            C                SMD0603                         34.93 mm   68.58 mm  180     
C117       100nF            C                SMD0603                         34.93 mm   71.12 mm  180     
C118       100nF            C                SMD0603                         29.85 mm   76.84 mm  0       
C119       100nF            C                SMD0603                         24.77 mm   70.49 mm  0       
C120       100nF            C                SMD0603                         24.77 mm   67.95 mm  0       
C121       100nF            C                SMD0603                         25.40 mm   64.77 mm  90      
D1         BAS16H           DIODE_1          SOD123F/1-2                     4.45 mm    154.94 mm 0       
D2         SS28             DIODE_1          SMB-12                          5.08 mm    7.62 mm   180     
D3         BAS16H           DIODE_1          SOD123F/1-2                     25.40 mm   43.82 mm  90      
D4         MBRA340T3G       DIODE_1          SMA-12                          31.75 mm   87.63 mm  270     
D5         1N4148WT         DIODE_1          SOD523F1-2                      169.55 mm  157.48 mm 90      
D6         1N4148WT         DIODE_1          SOD523F1-2                      92.08 mm   157.48 mm 270     
D7         SS28             DIODE_1          SMB-12                          191.77 mm  140.97 mm 270     
D8         SS28             DIODE_1          SMB-12                          191.77 mm  149.23 mm 90      
D9          BZT52H-20V      BZX84C3V0L_1     SOD123F/2-1                     45.72 mm   102.87 mm 270     
D10        VS-MBR6045WT-N3  VS-MBR6045WT-N.. TO247DD-NUMERATO                48.26 mm   18.42 mm  0       
D11        MBRA340T3G       DIODE_1          SMA-12                          53.34 mm   40.64 mm  90      
D12        MBRA340T3G       DIODE_1          SMA-12                          91.44 mm   48.26 mm  90      
D13        1N4148WT         DIODE_1          SOD523F1-2                      56.52 mm   46.36 mm  90      
D14        1N4148WT         DIODE_1          SOD523F1-2                      54.61 mm   46.36 mm  90      
D15        MBRA340T3G       DIODE_1          SMA-12                          42.55 mm   42.55 mm  90      
D16        1N4148WT         DIODE_1          SOD523F1-2                      109.86 mm  157.48 mm 90      
DL1        GIALLO           LED_1            LED0805-MET-12                  69.85 mm   200.03 mm 180     
DL2        GIALLO           LED_1            LED0805-MET-12                  69.85 mm   181.61 mm 180     
DL3        GIALLO           LED_1            LED0805-MET-12                  69.85 mm   171.45 mm 180     
DL4        GIALLO           LED_1            LED0805-MET-12                  69.85 mm   163.20 mm 180     
DL5        GIALLO           LED_1            LED0805-MET-12                  69.85 mm   187.96 mm 180     
DL6        GIALLO           LED_1            LED0805-MET-12                  69.85 mm   191.77 mm 180     
DL7        GIALLO           LED_1            LED0805-MET-12                  121.29 mm  151.13 mm 90      
DL8        GIALLO           LED_1            LED0805-MET-12                  102.24 mm  150.50 mm 90      
DL9        GIALLO           LED_1            LED0805-MET-12                  131.45 mm  151.13 mm 90      
DL10       GIALLO           LED_1            LED0805-MET-12                  124.46 mm  151.13 mm 90      
DL11       VERDE            LED_1            LED0805-MET-12                  19.05 mm   78.11 mm  90      
DL12       VERDE            LED_1            LED0805-MET-12                  16.51 mm   58.42 mm  90      
DL13       VERDE            LED_1            LED0805-MET-12                  13.97 mm   78.11 mm  90      
DL14       VERDE            LED_1            LED0805-MET-12                  16.51 mm   78.11 mm  90      
DL15       GIALLO           LED_1            LED0805-MET-12                  155.58 mm  151.13 mm 90      
DL16       GIALLO           LED_1            LED0805-MET-12                  147.32 mm  151.13 mm 90      
DL17       GIALLO           LED_1            LED0805-MET-12                  200.66 mm  169.55 mm 90      
DL18       GIALLO           LED_1            LED0805-MET-12                  200.66 mm  157.48 mm 90      
